// Genki One/Greetings
かんこく[かんこく]	かんこく	Korea
ちゅうごく[ちゅうごく]	ちゅうごく	China
// Genki One/Lesson Two/Majors
けいざい[けいざい]	けいざい	economics
コンピューター[コンピューター]	こんぴゅうたあ	computer
ビジネス[ビジネス]	びじねす	business
れきし[れきし]	れきし	history
// Genki One/Lesson Two/Family
おかあそん[おかあそん]	おかあそん	mother
おとうさん[おとうさん]	おとうさん	father
// Genki One/Lesson Two/Money Matters
いくら[いくら]	いくら	how much
~えん[~えん]	えん	yen
たかい[たかい]	たかい	expensive; heigh
// Genki One/Lesson Two/Expressions
いらっしゃいませ[いらっしゃいませ]	いらっしゃいませ	Welcome (to our place/store)
(~を)おねがいします[(~を)おねがいします]	(~を)おねがいします	..., please.
(~を)ください[(~を)ください]	(~を)ください	Please give me ...
じゃあ[じゃあ]	じゃあ	then ...; if that is the case, ...
でうぞ[でうぞ]	でうぞ	Please; Here it is
どうも[どうも]	どうも	Thank you.
// Genki One/Lesson Two/Classroom
きょうしつ[きょうしつ]	きょうしつ	classroom
でんき[でんき]	でんき	electric light
こくばん[こくばん]	こくばん	blackboard
ドア[ドア]	どあ	door
カーテン[カーテン]	かあてん	curtain, curtains
まど[まど]	まど	window
ほん[ほん]	ほん	book
じしょ[じしょ]	じしょ	dictionary
えんぴつ[えんぴつ]	えんぴつ	pencil
ペン[ペン]	ぺん	pen
けしゴム[けしゴム]	けしごむ	eraser
いす[いす]	いす	chair
つくえ[つくえ]	つくえ	table, desk
かばん[かばん]	かばん	bag, suitcase
わかりましたか。[わかりましたか。]	わかりましたか	Do you understand?
わかりました。[わかりました。]	わかりました	I understand./I understood.
わかりません。[わかりません。]	わかりません	I don't understand./I don't know.
ゆっくりいってください。[ゆっくりいってください。]	ゆっくりいってください	Please say it slowly.
もういちどいってください。[もういちどいってください。]	もういちどいってください	Please say it again.
ちょっとまってください。[ちょっとまってください。]	ちょっとまってください	Please wait.
きってください。[きってください。]	きってください	Please listen./Please ask.
１０ページをみてください。[１０ページをみてください。]	１０ページをみてください	Please loot at page 10.
// Genki One/Lesson Three/Entertaiment and Sports
映画[映画]	えいが	movie
音楽[音楽]	おんがく	music
雑誌[雑誌]	ざっし	magazine
スポーツ[スポーツ]	スポーツ	sports
デート[デート]	デート	romantic date
テニス[テニス]	テニス	tennis
テレビ[テレビ]	テレビ	TV
// Genki One/Lesson Three/Foods and Drinks
アイスクリーム[アイスクリーム]	アイスクリーム	ice cream
朝ご飯[朝ご飯]	あさごはん	breakfast
お酒[お酒]	おさけ	sake; alcohol
お茶[お茶]	おちゃ	tea
コーヒー[コーヒー]	コーヒー	coffee
晩ご飯[晩ご飯]	ばんごはん	dinner
ハンバーガー[ハンバーガー]	ハンバーガー	hamburger
昼ご飯[昼ご飯]	ひるごはん	lunch
水[水]	みず	water
// Genki One/Lesson Three/Places
家[家]	いえ	home; house
うち[うち]	うち	home; house; my place
学校[学校]	がっこう	school
// Genki One/Lesson Three/Time
いつ[いつ]	いつ	when
今日[今日]	きょう	today
~ごろ[~ごろ]	ごろ	at about ...
今晚[今晚]	こんばん	tonight
週末[週末]	しゅうまつ	weekend
土曜日[土曜日]	どようび	Saturday
日曜日[日曜日]	にちようび	Sunday
毎日[毎日]	まいにち	every day
毎晩[毎晩]	まいばん	every night
// Genki One/Lesson Three/U-verbs
行く[行く]	いく	to go (destionation に／へ)
帰る[帰る]	かえる	to go back; to return (destination に／へ)
聞く[聞く]	きく	to listen, to hear (~を)
飲む[飲む]	のむ	to drink (~を)
話す[話す]	はなす	to speak; to talk (language を／で)
読む[読む]	よむ	to read (~を)
